epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,82.58956146240234,,,,,
0,19,,146.89178466796875,,,,,
0,29,,59.35019302368164,,,,,
0,39,,43.033660888671875,,,,,
0,49,,84.490478515625,,,,,
0,59,,60.63125228881836,,,,,
0,69,,77.3017807006836,,,,,
0,77,,,69.11736297607422,0.0023113852366805077,98.88146209716797,0.002314710756763816,37.86867904663086
0,77,80.47787475585938,,,,,,
1,79,,66.89476776123047,,,,,
1,89,,45.812740325927734,,,,,
1,99,,40.20856475830078,,,,,
1,109,,36.8931770324707,,,,,
1,119,,51.54513168334961,,,,,
1,129,,36.03715515136719,,,,,
1,139,,56.92524337768555,,,,,
1,149,,21.027856826782227,,,,,
1,155,,,39.066162109375,0.0007894712616689503,61.49575424194336,0.0007895442540757358,22.560537338256836
1,155,49.964630126953125,,,,,,
2,159,,23.2017822265625,,,,,
2,169,,58.40047073364258,,,,,
2,179,,24.272836685180664,,,,,
2,189,,19.961036682128906,,,,,
2,199,,102.9200210571289,,,,,
2,209,,23.89166259765625,,,,,
2,219,,17.31219482421875,,,,,
2,229,,25.09467124938965,,,,,
2,233,,,10.148335456848145,0.00034396571572870016,15.752541542053223,0.0003439015708863735,10.076903343200684
2,233,34.49184799194336,,,,,,
3,239,,35.48765182495117,,,,,
3,249,,43.55612564086914,,,,,
3,259,,15.943758964538574,,,,,
3,269,,19.343189239501953,,,,,
3,279,,16.292055130004883,,,,,
3,289,,17.452451705932617,,,,,
3,299,,12.661995887756348,,,,,
3,309,,14.646942138671875,,,,,
3,311,,,62.44680404663086,0.0015013624215498567,94.37366485595703,0.0015005689347162843,28.721954345703125
3,311,27.2028865814209,,,,,,
4,319,,16.9708194732666,,,,,
4,329,,11.890853881835938,,,,,
4,339,,36.845401763916016,,,,,
4,349,,23.21317481994629,,,,,
4,359,,19.54639434814453,,,,,
4,369,,14.40958023071289,,,,,
4,379,,22.7513370513916,,,,,
4,389,,29.76458740234375,,,,,
4,389,,,29.087890625,0.0016830231761559844,35.90028381347656,0.0016804216429591179,17.26420021057129
4,389,22.720863342285156,,,,,,
5,399,,21.829071044921875,,,,,
5,409,,14.214367866516113,,,,,
5,419,,22.03119468688965,,,,,
5,429,,16.894258499145508,,,,,
5,439,,20.597021102905273,,,,,
5,449,,10.70016098022461,,,,,
5,459,,9.507116317749023,,,,,
5,467,,,18.240859985351562,0.0009561249171383679,25.360248565673828,0.0009568706154823303,10.67154598236084
5,467,18.889678955078125,,,,,,
