window,time_idx,entry_time,entry_price,tft_action,tft_fc_best_idx,tft_fc_best_price,tft_fc_gross_ret_pct,tft_actual_exit_price,tft_actual_return_pct,tft_pnl_usd,tft_won,tft_dir_correct,tft_breakeven_pct,tft_threshold_pct,tft_fc_mape,tft_fc_rmse,ewma_action,ewma_fc_best_idx,ewma_fc_best_price,ewma_fc_gross_ret_pct,ewma_actual_exit_price,ewma_actual_return_pct,ewma_pnl_usd,ewma_won,ewma_dir_correct,ewma_breakeven_pct,ewma_threshold_pct,ewma_fc_mape,ewma_fc_rmse
10,2313,2025-10-30 19:45:00+00:00,106697.01,BUY,10.0,110243.4609375,3.3238522218195294,106694.41,-0.0024368068046061167,-0.10243436999780152,False,False,0.2,0.5,3.0595322528750644,3268.755956103989,HOLD,0,106900.78352028376,0.19098334647218776,106643.7,0.0,0.0,,False,0.2,0.5,0.16496874648650386,205.0979559993101
11,2528,2025-10-30 23:20:00+00:00,107708.09,BUY,10.0,110251.7734375,2.3616456642207693,107738.8,0.028512250101182187,-0.071516262148919,False,True,0.2,0.5,1.9336022144603993,2100.3633051217444,HOLD,0,107683.49672193089,-0.022833269134293746,107657.99,0.0,0.0,,True,0.2,0.5,0.24370650324581342,347.77153184359616
12,2742,2025-10-31 02:54:00+00:00,108908.58,BUY,10.0,110238.046875,1.2207182161405448,108784.0,-0.11438951825466986,-0.21427512873641524,False,False,0.2,0.5,0.92504308216943,1033.5320706050866,HOLD,0,109096.9098079711,0.17292467496233524,108934.62,0.0,0.0,,True,0.2,0.5,0.28396494987891086,359.80297743087465
13,2957,2025-10-31 06:29:00+00:00,109691.18,HOLD,10.0,110236.71875,0.49734057925168373,109623.04,0.0,0.0,,False,0.2,0.5,0.31859663848058295,368.78814344395073,HOLD,0,109757.34685599881,0.0603210358379019,109717.78,0.0,0.0,,True,0.2,0.5,0.07177365073418357,85.86315083149583
14,3172,2025-10-31 10:04:00+00:00,109931.58,HOLD,10.0,110241.0859375,0.2815441545550407,109816.92,0.0,0.0,,False,0.2,0.5,0.1278954685282026,183.41162863817163,HOLD,0,109947.76705786558,0.014724665892712398,109880.47,0.0,0.0,,False,0.2,0.5,0.07977570283612621,101.08914885382264
15,3386,2025-10-31 13:38:00+00:00,109778.87,HOLD,10.0,110243.390625,0.4231421083128335,109987.82,0.0,0.0,,True,0.2,0.5,0.18710947479048098,230.3578875887443,HOLD,0,109871.22982758307,0.08413260911054526,109772.12,0.0,0.0,,False,0.2,0.5,0.24490002365487165,301.2032844622261
16,3601,2025-10-31 17:13:00+00:00,109038.29,BUY,10.0,110242.6953125,1.1045709837342519,109131.86,0.08581389161551138,-0.014271922276104118,False,True,0.2,0.5,0.8587702554824449,958.9285255175934,HOLD,0,109427.40699462823,0.3568627081626387,108931.68,0.0,0.0,,False,0.2,0.5,0.2451716594228711,332.68046249542914
17,3815,2025-10-31 20:47:00+00:00,109755.33,HOLD,10.0,110241.1328125,0.44262343569100315,109493.84,0.0,0.0,,False,0.2,0.5,0.369315381955916,441.6939600881697,HOLD,0,109668.18290794092,-0.07940123915538318,109782.86,0.0,0.0,,False,0.2,0.5,0.07777556143528346,104.92682334485731
18,4030,2025-11-01 00:22:00+00:00,109408.44,BUY,10.0,110285.2890625,0.8014455397590877,109433.08,0.022521114458810873,-0.07750140665564795,False,True,0.2,0.5,0.4927359949950748,557.1309286792318,HOLD,0,109528.43584067553,0.10967695058583435,109493.84,0.0,0.0,,True,0.2,0.5,0.06357155826318367,106.91736822262762
19,4245,2025-11-01 03:57:00+00:00,110275.74,HOLD,10.0,110356.46875,0.0732062645872925,110555.03,0.0,0.0,,True,0.2,0.5,0.08718549073692045,108.40801073488623,HOLD,23,110165.51350103685,-0.09995534735305449,110197.39,0.0,0.0,,True,0.2,0.5,0.169176881302129,226.37713651017106
