time,price_fc
2025-09-25T01:23:59.999000+00:00,113190.11692875743
2025-09-25T01:24:59.999000+00:00,113188.78649487635
2025-09-25T01:25:59.999000+00:00,113187.45606099525
2025-09-25T01:26:59.999000+00:00,113186.12562711416
2025-09-25T01:27:59.999000+00:00,113184.79519323308
2025-09-25T01:28:59.999000+00:00,113183.46475935199
2025-09-25T01:29:59.999000+00:00,113182.13432547089
2025-09-25T01:30:59.999000+00:00,113180.8038915898
2025-09-25T01:31:59.999000+00:00,113179.47345770872
2025-09-25T01:32:59.999000+00:00,113178.14302382764
2025-09-25T01:33:59.999000+00:00,113176.81258994654
2025-09-25T01:34:59.999000+00:00,113175.48215606545
2025-09-25T01:35:59.999000+00:00,113174.15172218437
2025-09-25T01:36:59.999000+00:00,113172.82128830328
2025-09-25T01:37:59.999000+00:00,113171.49085442218
2025-09-25T01:38:59.999000+00:00,113170.1604205411
2025-09-25T01:39:59.999000+00:00,113168.82998666001
2025-09-25T01:40:59.999000+00:00,113167.49955277893
2025-09-25T01:41:59.999000+00:00,113166.16911889783
2025-09-25T01:42:59.999000+00:00,113164.83868501674
2025-09-25T01:43:59.999000+00:00,113163.50825113566
2025-09-25T01:44:59.999000+00:00,113162.17781725457
2025-09-25T01:45:59.999000+00:00,113160.84738337348
2025-09-25T01:46:59.999000+00:00,113159.51694949239
2025-09-25T01:47:59.999000+00:00,113158.1865156113
2025-09-25T01:48:59.999000+00:00,113156.85608173022
2025-09-25T01:49:59.999000+00:00,113155.52564784912
2025-09-25T01:50:59.999000+00:00,113154.19521396804
2025-09-25T01:51:59.999000+00:00,113152.86478008695
2025-09-25T01:52:59.999000+00:00,113151.53434620587
2025-09-25T01:53:59.999000+00:00,113150.20391232477
2025-09-25T01:54:59.999000+00:00,113148.87347844368
2025-09-25T01:55:59.999000+00:00,113147.5430445626
2025-09-25T01:56:59.999000+00:00,113146.21261068151
2025-09-25T01:57:59.999000+00:00,113144.88217680041
2025-09-25T01:58:59.999000+00:00,113143.55174291933
2025-09-25T01:59:59.999000+00:00,113142.22130903824
2025-09-25T02:00:59.999000+00:00,113140.89087515716
2025-09-25T02:01:59.999000+00:00,113139.56044127606
2025-09-25T02:02:59.999000+00:00,113138.23000739497
2025-09-25T02:03:59.999000+00:00,113136.89957351389
2025-09-25T02:04:59.999000+00:00,113135.5691396328
2025-09-25T02:05:59.999000+00:00,113134.2387057517
2025-09-25T02:06:59.999000+00:00,113132.90827187062
2025-09-25T02:07:59.999000+00:00,113131.57783798953
2025-09-25T02:08:59.999000+00:00,113130.24740410845
2025-09-25T02:09:59.999000+00:00,113128.91697022735
2025-09-25T02:10:59.999000+00:00,113127.58653634627
2025-09-25T02:11:59.999000+00:00,113126.25610246518
2025-09-25T02:12:59.999000+00:00,113124.9256685841
2025-09-25T02:13:59.999000+00:00,113123.595234703
2025-09-25T02:14:59.999000+00:00,113122.26480082191
2025-09-25T02:15:59.999000+00:00,113120.93436694083
2025-09-25T02:16:59.999000+00:00,113119.60393305974
2025-09-25T02:17:59.999000+00:00,113118.27349917864
2025-09-25T02:18:59.999000+00:00,113116.94306529756
2025-09-25T02:19:59.999000+00:00,113115.61263141647
2025-09-25T02:20:59.999000+00:00,113114.28219753539
2025-09-25T02:21:59.999000+00:00,113112.9517636543
2025-09-25T02:22:59.999000+00:00,113111.6213297732
