epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,101.22500610351562,,,,,
0,19,,71.48699188232422,,,,,
0,29,,35.08083724975586,,,,,
0,39,,48.91365051269531,,,,,
0,49,,44.4770393371582,,,,,
0,59,,40.409034729003906,,,,,
0,69,,40.66505813598633,,,,,
0,79,,26.50304412841797,,,,,
0,89,,56.19764709472656,,,,,
0,99,,41.914207458496094,,,,,
0,109,,17.982833862304688,,,,,
0,119,,21.599477767944336,,,,,
0,125,,,21.785226821899414,0.001155827776528895,30.604713439941406,0.0011546709574759007,12.880854606628418
0,125,45.98065948486328,,,,,,
1,129,,23.959806442260742,,,,,
1,139,,14.874541282653809,,,,,
1,149,,29.947961807250977,,,,,
1,159,,24.87798500061035,,,,,
1,169,,18.03216552734375,,,,,
1,179,,17.963102340698242,,,,,
1,189,,26.47215461730957,,,,,
1,199,,31.884737014770508,,,,,
1,209,,17.89505958557129,,,,,
1,219,,15.044903755187988,,,,,
1,229,,14.70858383178711,,,,,
1,239,,16.165115356445312,,,,,
1,249,,12.186264991760254,,,,,
1,251,,,9.847900390625,0.0008460604585707188,13.72934341430664,0.0008453826303593814,6.5024333000183105
1,251,18.606046676635742,,,,,,
2,259,,15.394221305847168,,,,,
2,269,,15.53000545501709,,,,,
2,279,,15.155974388122559,,,,,
2,289,,12.067151069641113,,,,,
2,299,,13.745349884033203,,,,,
2,309,,11.518197059631348,,,,,
2,319,,24.5667781829834,,,,,
2,329,,17.00745391845703,,,,,
2,339,,7.381112575531006,,,,,
2,349,,26.37553596496582,,,,,
2,359,,9.879429817199707,,,,,
2,369,,8.850127220153809,,,,,
2,377,,,7.212158203125,0.0005956459790468216,9.226704597473145,0.0005952988285571337,4.369724750518799
2,377,14.437742233276367,,,,,,
3,379,,10.013331413269043,,,,,
3,389,,7.808795928955078,,,,,
3,399,,10.767842292785645,,,,,
3,409,,10.149505615234375,,,,,
3,419,,8.868454933166504,,,,,
3,429,,13.287243843078613,,,,,
3,439,,8.801307678222656,,,,,
3,449,,8.712459564208984,,,,,
3,459,,21.266965866088867,,,,,
3,469,,17.138898849487305,,,,,
3,479,,9.861954689025879,,,,,
3,489,,6.313416957855225,,,,,
3,499,,8.371804237365723,,,,,
3,503,,,6.323089599609375,0.0005070953047834337,8.312541007995605,0.0005068530444987118,4.040774822235107
3,503,11.892309188842773,,,,,,
4,509,,7.1019816398620605,,,,,
4,519,,7.990240097045898,,,,,
4,529,,15.327327728271484,,,,,
4,539,,12.634239196777344,,,,,
4,549,,6.681936740875244,,,,,
4,559,,6.891446590423584,,,,,
4,569,,31.740018844604492,,,,,
4,579,,7.505894184112549,,,,,
4,589,,7.671960353851318,,,,,
4,599,,25.09440040588379,,,,,
4,609,,11.590540885925293,,,,,
4,619,,6.6441192626953125,,,,,
4,629,,8.138480186462402,,,,,
4,629,,,6.256825923919678,0.0005755103775300086,7.425091743469238,0.0005751927965320647,4.234008312225342
4,629,10.861513137817383,,,,,,
5,639,,7.732213497161865,,,,,
5,649,,24.5008487701416,,,,,
5,659,,6.55349588394165,,,,,
5,669,,9.788861274719238,,,,,
5,679,,9.16808032989502,,,,,
5,689,,8.13022518157959,,,,,
5,699,,25.157682418823242,,,,,
5,709,,22.28923988342285,,,,,
5,719,,8.087066650390625,,,,,
5,729,,6.170668125152588,,,,,
5,739,,6.04905891418457,,,,,
