open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base,taker_quote,ignore,symbol
2025-09-22 01:15:00+00:00,114623.68,114660.0,114584.0,114660.0,26.19202,2025-09-22 01:15:59.999000+00:00,3001855.44797100,5151,14.72112000,1687190.37899280,0,BTCUSDT
2025-09-22 01:16:00+00:00,114660.0,114670.59,114584.01,114584.01,14.33158,2025-09-22 01:16:59.999000+00:00,1642821.04193850,3293,4.38570000,502727.33232810,0,BTCUSDT
2025-09-22 01:17:00+00:00,114584.02,114584.02,114500.0,114541.98,12.50588,2025-09-22 01:17:59.999000+00:00,1432510.45864770,4629,5.94624000,681003.26616390,0,BTCUSDT
2025-09-22 01:18:00+00:00,114541.97,114593.19,114541.97,114548.39,18.54421,2025-09-22 01:18:59.999000+00:00,2124830.39717420,4241,2.75331000,315441.55470310,0,BTCUSDT
2025-09-22 01:19:00+00:00,114548.39,114548.4,114460.8,114495.3,8.20272,2025-09-22 01:19:59.999000+00:00,939098.03747200,4567,3.82719000,438132.97710720,0,BTCUSDT
2025-09-22 01:20:00+00:00,114495.31,114555.0,114495.31,114532.54,4.93111,2025-09-22 01:20:59.999000+00:00,564737.52157980,3968,1.71608000,196520.74324970,0,BTCUSDT
2025-09-22 01:21:00+00:00,114532.55,114566.94,114510.26,114525.3,4.89633,2025-09-22 01:21:59.999000+00:00,560830.88788330,2953,2.72149000,311707.56854640,0,BTCUSDT
2025-09-22 01:22:00+00:00,114525.3,114583.46,114525.29,114583.46,4.00187,2025-09-22 01:22:59.999000+00:00,458478.45287580,4449,2.09237000,239711.44247960,0,BTCUSDT
2025-09-22 01:23:00+00:00,114583.45,114584.0,114558.31,114572.48,6.26971,2025-09-22 01:23:59.999000+00:00,718317.84501910,1108,1.28798000,147559.87782830,0,BTCUSDT
2025-09-22 01:24:00+00:00,114572.47,114572.48,114500.01,114500.01,6.21318,2025-09-22 01:24:59.999000+00:00,711694.40186160,2698,1.28829000,147570.30948270,0,BTCUSDT
2025-09-22 01:25:00+00:00,114500.01,114591.21,114500.0,114589.89,23.13063,2025-09-22 01:25:59.999000+00:00,2649287.41059270,2695,18.31717000,2097879.80930330,0,BTCUSDT
2025-09-22 01:26:00+00:00,114589.89,114643.34,114589.88,114643.33,5.69564,2025-09-22 01:26:59.999000+00:00,652845.94067300,1840,3.40760000,390561.55166760,0,BTCUSDT
2025-09-22 01:27:00+00:00,114643.34,114677.68,114612.0,114644.2,9.59505,2025-09-22 01:27:59.999000+00:00,1100076.53217160,2718,3.01620000,345778.68348570,0,BTCUSDT
2025-09-22 01:28:00+00:00,114644.2,114644.2,114580.0,114641.45,17.66748,2025-09-22 01:28:59.999000+00:00,2025116.34164060,3195,8.93670000,1024347.79115530,0,BTCUSDT
2025-09-22 01:29:00+00:00,114641.45,114657.74,114600.0,114649.9,30.24338,2025-09-22 01:29:59.999000+00:00,3466768.87016700,3813,23.84372000,2733077.86047680,0,BTCUSDT
2025-09-22 01:30:00+00:00,114649.9,114649.9,114560.0,114560.0,5.58001,2025-09-22 01:30:59.999000+00:00,639600.21432780,3749,0.76933000,88180.47401180,0,BTCUSDT
2025-09-22 01:31:00+00:00,114560.01,114640.0,114543.17,114640.0,9.56656,2025-09-22 01:31:59.999000+00:00,1096093.85659940,2490,8.19003000,938383.57731660,0,BTCUSDT
2025-09-22 01:32:00+00:00,114639.99,114715.02,114639.99,114715.01,8.0675,2025-09-22 01:32:59.999000+00:00,925300.93962650,1668,6.16723000,707378.44491320,0,BTCUSDT
2025-09-22 01:33:00+00:00,114715.01,114733.15,114715.0,114732.42,1.49915,2025-09-22 01:33:59.999000+00:00,171989.65884240,883,1.02978000,118140.37707080,0,BTCUSDT
2025-09-22 01:34:00+00:00,114732.42,114742.71,114704.23,114704.24,10.09311,2025-09-22 01:34:59.999000+00:00,1157894.88982530,2424,1.86351000,213775.79932050,0,BTCUSDT
2025-09-22 01:35:00+00:00,114704.23,114719.97,114676.33,114719.96,3.35873,2025-09-22 01:35:59.999000+00:00,385230.22776380,1667,1.33507000,153117.55662080,0,BTCUSDT
2025-09-22 01:36:00+00:00,114719.97,114737.04,114661.14,114661.15,11.95024,2025-09-22 01:36:59.999000+00:00,1370831.39194260,2841,8.65214000,992528.70644300,0,BTCUSDT
2025-09-22 01:37:00+00:00,114661.15,114661.15,114640.43,114640.43,4.05748,2025-09-22 01:37:59.999000+00:00,465175.36165960,822,1.65350000,189567.04693270,0,BTCUSDT
