epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,58.520050048828125,,,,,
0,19,,50.28715896606445,,,,,
0,29,,34.308650970458984,,,,,
0,39,,77.1490478515625,,,,,
0,41,,,69.5308837890625,0.001101220608688891,98.84953308105469,0.0011004225816577673,40.339969635009766
0,41,62.431461334228516,,,,,,
1,49,,40.35490417480469,,,,,
1,59,,39.17047882080078,,,,,
1,69,,30.744539260864258,,,,,
1,79,,39.630638122558594,,,,,
1,83,,,47.16868209838867,0.0007412340492010117,67.6428451538086,0.0007409942336380482,21.51118278503418
1,83,37.607421875,,,,,,
2,89,,27.72479820251465,,,,,
2,99,,32.03548049926758,,,,,
2,109,,28.628671646118164,,,,,
2,119,,22.833219528198242,,,,,
2,125,,,22.52235984802246,0.0004951676819473505,34.70479202270508,0.0004952108138240874,12.645350456237793
2,125,26.5897159576416,,,,,,
3,129,,25.198020935058594,,,,,
3,139,,30.73822021484375,,,,,
3,149,,22.879289627075195,,,,,
3,159,,13.519828796386719,,,,,
3,167,,,26.549957275390625,0.0007922350778244436,36.123291015625,0.0007918406627140939,12.977116584777832
3,167,20.091978073120117,,,,,,
4,169,,14.861603736877441,,,,,
4,179,,11.20275592803955,,,,,
4,189,,13.706977844238281,,,,,
4,199,,15.596104621887207,,,,,
4,209,,12.58582592010498,,,,,
4,209,,,9.226948738098145,0.0007064922247081995,12.009904861450195,0.0007060004281811416,7.430854797363281
4,209,15.59974193572998,,,,,,
5,219,,12.683475494384766,,,,,
5,229,,9.215506553649902,,,,,
5,239,,9.938236236572266,,,,,
5,249,,11.294581413269043,,,,,
5,251,,,7.158111572265625,0.0006051004747860134,9.043312072753906,0.0006047507631592453,6.181191921234131
5,251,13.449673652648926,,,,,,
6,259,,11.58667278289795,,,,,
6,269,,9.573895454406738,,,,,
6,279,,13.480342864990234,,,,,
6,289,,10.18602466583252,,,,,
6,293,,,7.87542724609375,0.0005197850987315178,10.70839786529541,0.0005195638514123857,6.173472881317139
6,293,12.01356029510498,,,,,,
7,299,,12.950005531311035,,,,,
7,309,,12.747573852539062,,,,,
7,319,,7.271569728851318,,,,,
7,329,,10.565572738647461,,,,,
7,335,,,13.93846607208252,0.000679588585626334,18.293630599975586,0.0006791551713831723,7.753763198852539
7,335,10.522516250610352,,,,,,
8,339,,12.50001049041748,,,,,
8,349,,8.275176048278809,,,,,
8,359,,7.813648700714111,,,,,
8,369,,13.982029914855957,,,,,
8,377,,,15.450592041015625,0.0005970849306322634,20.61972427368164,0.0005967655451968312,8.373954772949219
8,377,9.325972557067871,,,,,,
9,379,,10.583213806152344,,,,,
9,389,,10.157829284667969,,,,,
9,399,,7.07719087600708,,,,,
9,409,,11.109068870544434,,,,,
9,419,,10.068203926086426,,,,,
9,419,,,7.883341312408447,0.0004744174366351217,10.457926750183105,0.00047418373287655413,4.7132248878479
9,419,8.568721771240234,,,,,,
10,429,,10.754460334777832,,,,,
10,439,,7.998258590698242,,,,,
10,449,,5.650667190551758,,,,,
10,459,,12.327415466308594,,,,,
10,461,,,11.236592292785645,0.0004911088617518544,15.39061450958252,0.0004908836563117802,5.835081100463867
10,461,8.023265838623047,,,,,,
11,469,,7.179473876953125,,,,,
11,479,,9.206835746765137,,,,,
11,489,,7.6002960205078125,,,,,
11,499,,7.615653991699219,,,,,
11,503,,,7.678487300872803,0.00045902072452008724,9.948809623718262,0.0004587855364661664,4.566267490386963
11,503,8.034751892089844,,,,,,
12,509,,8.581636428833008,,,,,
12,519,,6.314887523651123,,,,,
12,529,,7.24327278137207,,,,,
12,539,,7.274955749511719,,,,,
12,545,,,10.21802806854248,0.0003720155218616128,15.350103378295898,0.000371887581422925,5.876916885375977
12,545,7.2639007568359375,,,,,,
13,549,,8.917606353759766,,,,,
13,559,,7.5287184715271,,,,,
13,569,,9.682982444763184,,,,,
13,579,,7.755504608154297,,,,,
13,587,,,16.642465591430664,0.0005317297182045877,22.75423240661621,0.0005314796580933034,8.842658042907715
13,587,7.541633129119873,,,,,,
14,589,,5.274901390075684,,,,,
14,599,,4.659534454345703,,,,,
14,609,,6.465002536773682,,,,,
14,619,,6.498338222503662,,,,,
14,629,,9.337565422058105,,,,,
14,629,,,11.359710693359375,0.0004211543418932706,15.207324981689453,0.0004209853068459779,5.562947750091553
14,629,7.222104072570801,,,,,,
