epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,118.89623260498047,,,,,
0,19,,40.95991897583008,,,,,
0,29,,30.666616439819336,,,,,
0,39,,39.29880905151367,,,,,
0,49,,30.935091018676758,,,,,
0,59,,35.03894805908203,,,,,
0,69,,63.1814079284668,,,,,
0,79,,40.31306076049805,,,,,
0,84,,,17.46787452697754,0.0008721615304239094,24.466888427734375,0.0008729505352675915,10.305179595947266
0,84,52.96796417236328,,,,,,
1,89,,20.07085609436035,,,,,
1,99,,62.711177825927734,,,,,
1,109,,31.247222900390625,,,,,
1,119,,18.95488929748535,,,,,
1,129,,38.82609939575195,,,,,
1,139,,14.392111778259277,,,,,
1,149,,15.177425384521484,,,,,
1,159,,17.036142349243164,,,,,
1,169,,19.29104232788086,,,,,
1,169,,,15.43353271484375,0.0007044646772556007,21.58142852783203,0.0007049540872685611,8.869318962097168
1,169,27.11387825012207,,,,,,
2,179,,11.782326698303223,,,,,
2,189,,24.539045333862305,,,,,
2,199,,15.638821601867676,,,,,
2,209,,17.188873291015625,,,,,
2,219,,18.202539443969727,,,,,
2,229,,11.391886711120605,,,,,
2,239,,11.784194946289062,,,,,
2,249,,10.446845054626465,,,,,
2,254,,,8.745097160339355,0.0005789630231447518,11.14026165008545,0.0005793409654870629,5.027347564697266
2,254,17.194114685058594,,,,,,
3,259,,19.599885940551758,,,,,
3,269,,19.977951049804688,,,,,
3,279,,17.53108787536621,,,,,
3,289,,20.38876724243164,,,,,
3,299,,25.530418395996094,,,,,
3,309,,14.024979591369629,,,,,
3,319,,11.520047187805176,,,,,
3,329,,10.285233497619629,,,,,
3,339,,9.941460609436035,,,,,
3,339,,,7.445353031158447,0.0004135605413466692,10.998300552368164,0.00041372128180228174,4.6302008628845215
3,339,12.901106834411621,,,,,,
4,349,,8.04702091217041,,,,,
4,359,,15.689703941345215,,,,,
4,369,,18.167449951171875,,,,,
4,379,,9.288684844970703,,,,,
4,389,,8.783284187316895,,,,,
4,399,,19.2387752532959,,,,,
4,409,,14.978787422180176,,,,,
4,419,,7.406075954437256,,,,,
4,424,,,5.709197998046875,0.00039388934965245426,7.57189416885376,0.000394048256566748,3.4895763397216797
4,424,10.835453987121582,,,,,,
5,429,,8.785919189453125,,,,,
5,439,,7.185182571411133,,,,,
5,449,,13.558680534362793,,,,,
5,459,,7.999910354614258,,,,,
5,469,,8.450150489807129,,,,,
5,479,,7.483293056488037,,,,,
5,489,,7.717460632324219,,,,,
5,499,,8.747212409973145,,,,,
5,509,,5.339174747467041,,,,,
5,509,,,8.450653076171875,0.0002622236788738519,13.556774139404297,0.0002622245519887656,4.943478107452393
5,509,9.17403793334961,,,,,,
6,519,,7.580018997192383,,,,,
6,529,,7.816280364990234,,,,,
6,539,,6.832899570465088,,,,,
6,549,,7.890377521514893,,,,,
6,559,,10.858367919921875,,,,,
6,569,,8.16190242767334,,,,,
6,579,,6.700370788574219,,,,,
6,589,,5.819094181060791,,,,,
6,594,,,9.7802734375,0.00035024681710638106,13.974733352661133,0.0003502637555357069,5.646501064300537
6,594,8.332275390625,,,,,,
7,599,,8.176689147949219,,,,,
7,609,,10.44854736328125,,,,,
7,619,,6.316842555999756,,,,,
7,629,,5.28108549118042,,,,,
7,639,,7.704801559448242,,,,,
7,649,,5.3214945793151855,,,,,
7,659,,5.153158187866211,,,,,
7,669,,7.25100564956665,,,,,
7,679,,6.686540603637695,,,,,
7,679,,,10.40257740020752,0.0002983798913192004,16.250267028808594,0.0002984309976454824,6.001306056976318
7,679,7.6655049324035645,,,,,,
